Name,Party,Location 1,Grade Level (since 1996),Grade Level (112th Congress),Years in Congress,DW1 Score
Sen. Bill Nelson,D,"FL (28.932039999846268, -81.9289599999039)",11.46127922,11.02162928,9,-0.195
Rep. Steven Palazzo,R,"MS (32.7455100000866, -89.53803000008429)",11.47302413,11.47302413,1,0.467
Rep. Candice Miller,R,"MI (44.661320000317914, -84.71438999959867)",11.47718297,11.70865922,9,0.306
Rep. Joe Heck,R,"NV (39.49323999972637, -117.07183999971608)",11.4806753,11.4806753,1,0.301
Rep. Tom Rooney,R,"FL (28.932039999846268, -81.9289599999039)",11.48111739,11.81099812,3,0.462
Rep. Nancy Pelosi,D,"CA (37.638300000444815, -120.99958999997835)",11.494933,10.40187415,25,-0.533
Rep. Bill Posey,R,"FL (28.932039999846268, -81.9289599999039)",11.49902895,11.74768224,3,0.425
Rep. Al Green,D,"TX (31.82724000022597, -99.42676999973554)",11.50251314,10.17197979,19,-0.336
Rep. Lou Barletta,R,"PA (40.79372999993973, -77.86069999960512)",11.50507481,11.50507481,1,0.273
Rep. Ann Buerkle,R,"NY (42.82699999955048, -75.54396999981549)",11.51220445,11.51220445,1,0.555
Rep. Louise Slaughter,D,"NY (42.82699999955048, -75.54396999981549)",11.51391723,11.3084751,25,-0.499
Rep. Judy Biggert,R,"IL (40.485010000411364, -88.99770999971656)",11.53375244,11.31173326,13,0.312
Rep. Ed Royce,R,"CA (37.638300000444815, -120.99958999997835)",11.54885077,10.60215458,19,0.698
Rep. Nan Hayworth,R,"NY (42.82699999955048, -75.54396999981549)",11.55167758,11.55167758,1,0.325
Rep. Xavier Becerra,D,"CA (37.638300000444815, -120.99958999997835)",11.55180852,12.09465575,19,-0.554
Rep. Tom McClintock,R,"CA (37.638300000444815, -120.99958999997835)",11.55782293,11.75820833,3,0.733
Rep. Gene Green,D,"TX (31.82724000022597, -99.42676999973554)",11.56577067,10.90283608,19,-0.336
Rep. Mike Grimm,R,"NY (42.82699999955048, -75.54396999981549)",11.5689815,11.5689815,1,0.229
Rep. Charlie Gonzalez,D,"TX (31.82724000022597, -99.42676999973554)",11.57108466,11.9997775,13,-0.358
Rep. Blaine Luetkemeyer,R,"MO (38.63578999960896, -92.5663000000448)",11.57167384,11.71185443,3,0.474
Rep. Scott Tipton,R,"CO (38.842890000173554, -106.13314000041055)",11.57463228,11.57463228,1,0.473
Rep. Yvette Clarke,D,"NY (42.82699999955048, -75.54396999981549)",11.57539568,12.45211362,5,-0.65
Rep. Frank Wolf,R,"VA (37.54268000028196, -78.45789000012326)",11.57705929,12.31302565,31,0.27
Sen. Tom Udall,D,"NM (34.52088000011207, -106.24057999976702)",11.57785056,10.82604949,3,-0.492
Rep. E. Scott Garrett,R,"NJ (40.13056999960594, -74.2736899996936)",11.5793931,11.46392336,9,0.689
Rep. Pat Tiberi,R,"OH (40.06020999969189, -82.40426000019869)",11.58155685,12.22177473,11,0.391
Rep. Cliff Stearns,R,"FL (28.932039999846268, -81.9289599999039)",11.58158493,12.24249672,23,0.543
Rep. Jan Schakowsky,D,"IL (40.485010000411364, -88.99770999971656)",11.60863404,11.23485854,13,-0.647
Rep. Lois Capps,D,"CA (37.638300000444815, -120.99958999997835)",11.60967322,10.86990742,15,-0.43
Rep. Emanuel Cleaver,D,"MO (38.63578999960896, -92.5663000000448)",11.6140621,10.39774268,5,-0.491
Rep. Jose Serrano,D,"NY (42.82699999955048, -75.54396999981549)",11.63151463,11.91226777,23,-0.533
Rep. Tim Holden,D,"PA (40.79372999993973, -77.86069999960512)",11.65326068,11.09665957,19,-0.227
Rep. Doc Hastings,R,"WA (47.521729999839806, -120.46997999977702)",11.67382886,10.19107844,17,0.45
Rep. Jared Polis,D,"CO (38.842890000173554, -106.13314000041055)",11.68308999,11.7024764,3,-0.39
Rep. Jerry McNerney,D,"CA (37.638300000444815, -120.99958999997835)",11.68624601,11.18463914,5,-0.25
Rep. Steven Guthrie,R,"KY (37.645969999815804, -84.77496999996538)",11.69094614,10.32590976,3,0.366
Rep. Darrell Issa,R,"CA (37.638300000444815, -120.99958999997835)",11.69576386,11.69868557,11,0.515
Rep. Dennis Cardoza,D,"CA (37.638300000444815, -120.99958999997835)",11.6958084,13.47444904,9,-0.252
Rep. Bobby Scott,D,"VA (37.54268000028196, -78.45789000012326)",11.7040888,10.95960347,19,-0.491
Rep. Shelley Capito,R,"WV (38.66550000002513, -80.71265999975901)",11.70412706,11.26570247,11,0.246
Sen. Orrin Hatch,R,"UT (39.36070000030492, -111.58712999994941)",11.70935336,10.82183029,33,0.39
Rep. Susan Davis,D,"CA (37.638300000444815, -120.99958999997835)",11.71248165,10.36043193,11,-0.371
Rep. Bobby Schilling,R,"IL (40.485010000411364, -88.99770999971656)",11.72955238,11.72955238,1,0.374
Rep. Frank Lucas,R,"OK (35.4720099999617, -97.52034999975251)",11.73246665,10.51124685,19,0.392
Rep. Nita Lowey,D,"NY (42.82699999955048, -75.54396999981549)",11.73859371,13.61995452,23,-0.418
Rep. John Duncan,R,"TN (35.68094000038087, -85.77449000011325)",11.7459653,10.54035646,25,0.578
Rep. Tammy Baldwin,D,"WI (44.39319000021851, -89.8163600002137)",11.75013228,12.92146101,13,-0.603
Rep. C.A. Dutch Ruppersberger,D,"MD (39.29057999976732, -76.6092600004485)",11.75243778,10.32329358,9,-0.323
Rep. Patrick Meehan,R,"PA (40.79372999993973, -77.86069999960512)",11.75756235,11.75756235,1,0.189
Sen. John Thune,R,"SD (44.353130000049646, -100.37353000040906)",11.76876533,11.25932366,5,0.387
Sen. John Boozman,R,"AR (34.748649999697875, -92.27448999971358)",11.77366726,11.35805412,1,0.406
Rep. Fred Upton,R,"MI (44.661320000317914, -84.71438999959867)",11.77711523,12.20009874,25,0.316
Rep. Grace Napolitano,D,"CA (37.638300000444815, -120.99958999997835)",11.78256497,11.07366701,13,-0.473
Rep. John Sullivan,R,"OK (35.4720099999617, -97.52034999975251)",11.7827409,12.37259149,11,0.526
Rep. Henry Waxman,D,"CA (37.638300000444815, -120.99958999997835)",11.78641741,10.56884052,37,-0.516
Sen. Jon Kyl,R,"AZ (34.86596999961597, -111.76380999973156)",11.79972438,11.78171981,15,0.558
Rep. Terri Sewell,D,"AL (32.840569999605975, -86.63186000013877)",11.8005269,11.8005269,1,-0.378
Rep. Kathy Castor,D,"FL (28.932039999846268, -81.9289599999039)",11.80607124,11.3359386,5,-0.452
Rep. Rick Larsen,D,"WA (47.521729999839806, -120.46997999977702)",11.81900975,11.50165143,11,-0.39
Rep. Randy Forbes,R,"VA (37.54268000028196, -78.45789000012326)",11.82234079,9.982090615,11,0.407
Rep. Brad Sherman,D,"CA (37.638300000444815, -120.99958999997835)",11.82374552,11.70390241,15,-0.386
Rep. Dan Boren,D,"OK (35.4720099999617, -97.52034999975251)",11.82591617,13.62107322,5,-0.111
Rep. Tom Latham,R,"IA (42.469390000048634, -93.81649000001335)",11.83917637,12.59157797,17,0.33
Rep. Ben Lujan,D,"NM (34.52088000011207, -106.24057999976702)",11.84453006,10.9478337,3,-0.424
Rep. Adrian Smith,R,"NE (41.6410400000961, -99.36572999973953)",11.84612792,12.13020417,5,0.516
Rep. Mike Turner,R,"OH (40.06020999969189, -82.40426000019869)",11.84808925,13.57337839,9,0.276
Rep. Tim Walberg,R,"MI (44.661320000317914, -84.71438999959867)",11.85375218,11.05157896,1,0.554
Rep. Ruben Hinojosa,D,"TX (31.82724000022597, -99.42676999973554)",11.86145244,11.56849308,15,-0.341
Rep. Joe Crowley,D,"NY (42.82699999955048, -75.54396999981549)",11.86444747,9.256491983,13,-0.43
Rep. Elijah Cummings,D,"MD (39.29057999976732, -76.6092600004485)",11.8673172,10.9124876,17,-0.461
Sen. Lisa Murkowski,R,"AK (64.84507999974238, -147.72205999986895)",11.87351946,11.30194037,9,0.241
Rep. Debbie Wasserman Schultz,D,"FL (28.932039999846268, -81.9289599999039)",11.8740028,12.31619589,5,-0.458
Rep. Jim Moran,D,"VA (37.54268000028196, -78.45789000012326)",11.88370167,11.01258927,21,-0.328
Rep. Steven Stivers,R,"OH (40.06020999969189, -82.40426000019869)",11.88870937,11.88870937,1,0.282
Rep. Zoe Lofgren,D,"CA (37.638300000444815, -120.99958999997835)",11.89184982,12.76643582,17,-0.455
Rep. Kevin Yoder,R,"KS (38.34774000000118, -98.20077999969709)",11.89570139,11.89570139,1,0.574
Rep. Geoff Davis,R,"KY (37.645969999815804, -84.77496999996538)",11.90163974,12.10575988,5,0.433
Rep. Gary Miller,R,"CA (37.638300000444815, -120.99958999997835)",11.90568478,12.37705887,13,0.499
Rep. Raul Grijalva,D,"AZ (34.86596999961597, -111.76380999973156)",11.9159216,11.86500315,9,-0.639
Sen. Jerry Moran,R,"KS (38.34774000000118, -98.20077999969709)",11.92120214,12.76575221,1,0.415
Rep. Dale Kildee,D,"MI (44.661320000317914, -84.71438999959867)",11.92746368,12.04087167,35,-0.4
Sen. Ben Cardin,D,"MD (39.29057999976732, -76.6092600004485)",11.93450775,11.93987274,3,-0.356
Rep. Anna Eshoo,D,"CA (37.638300000444815, -120.99958999997835)",11.93637952,10.65351543,19,-0.431
Rep. Erik Paulsen,R,"MN (46.3556499998478, -94.79419999982997)",11.93758504,11.69134788,3,0.368
Rep. Mike Quigley,D,"IL (40.485010000411364, -88.99770999971656)",11.94476211,11.79568427,3,-0.358
Rep. Aaron Schock,R,"IL (40.485010000411364, -88.99770999971656)",11.95875821,11.5362423,3,0.341
Rep. Lacy Clay,D,"MO (38.63578999960896, -92.5663000000448)",11.99135904,11.49976749,11,-0.536
Rep. Jo Ann Emerson,R,"MO (38.63578999960896, -92.5663000000448)",11.99956662,10.58528078,17,0.268
Rep. Joe Donnelly,D,"IN (39.76690999989677, -86.14996000035359)",12.00579882,12.78726012,5,-0.132
Rep. G.K. Butterfield,D,"NC (35.46624999963797, -79.1593199999179)",12.00769618,12.16871575,9,-0.414
Rep. Ed Whitfield,R,"KY (37.645969999815804, -84.77496999996538)",12.00822678,10.55855154,17,0.304
Rep. Duncan Hunter,R,"CA (37.638300000444815, -120.99958999997835)",12.02044387,13.66509733,3,0.528
Rep. Mike Fitzpatrick,R,"PA (40.79372999993973, -77.86069999960512)",12.02956491,12.50752265,1,0.223
Rep. Connie Mack,R,"FL (28.932039999846268, -81.9289599999039)",12.03584092,6.686799034,5,0.596
Rep. Jerry Costello,D,"IL (40.485010000411364, -88.99770999971656)",12.03997742,12.38319432,25,-0.319
Rep. Trent Franks,R,"AZ (34.86596999961597, -111.76380999973156)",12.0445611,12.25622763,9,0.775
Rep. Heath Shuler,D,"NC (35.46624999963797, -79.1593199999179)",12.04854088,12.84471939,5,-0.102
Rep. Wally Herger,R,"CA (37.638300000444815, -120.99958999997835)",12.05243499,14.2618407,25,0.548
Sen. Jim Webb,D,"VA (37.54268000028196, -78.45789000012326)",12.05582587,12.48977301,3,-0.193
Rep. Jim Clyburn,D,"SC (33.99855000018255, -81.0452500001872)",12.06024226,11.86660464,19,-0.481
Rep. Allyson Schwartz,D,"PA (40.79372999993973, -77.86069999960512)",12.06725913,11.11991398,5,-0.361
Rep. Bill Shuster,R,"PA (40.79372999993973, -77.86069999960512)",12.07316382,12.55418972,11,0.408
Rep. Gary Ackerman,D,"NY (42.82699999955048, -75.54396999981549)",12.0739639,12.33593222,29,-0.458
Rep. Ben Chandler,D,"KY (37.645969999815804, -84.77496999996538)",12.07399637,11.38117647,9,-0.238
Rep. Jon Runyan,R,"NJ (40.13056999960594, -74.2736899996936)",12.07910288,12.07910288,1,0.249
Rep. George Miller,D,"CA (37.638300000444815, -120.99958999997835)",12.08197589,11.18236367,37,-0.602
Rep. Howard Coble,R,"NC (35.46624999963797, -79.1593199999179)",12.08733375,12.25011244,27,0.518
Rep. Albio Sires,D,"NJ (40.13056999960594, -74.2736899996936)",12.09687744,13.07105958,5,-0.434
Rep. Martin Heinrich,D,"NM (34.52088000011207, -106.24057999976702)",12.0973457,11.17819696,3,-0.307
Rep. Bruce Braley,D,"IA (42.469390000048634, -93.81649000001335)",12.10098463,11.33271989,5,-0.386
Rep. Pete King,R,"NY (42.82699999955048, -75.54396999981549)",12.10154704,11.31763167,19,0.264
Rep. Lamar Smith,R,"TX (31.82724000022597, -99.42676999973554)",12.10214961,11.43552239,25,0.404
Rep. Gregory Meeks,D,"NY (42.82699999955048, -75.54396999981549)",12.10483911,11.6305186,15,-0.457
Rep. Robert Hurt,R,"VA (37.54268000028196, -78.45789000012326)",12.1122186,12.1122186,1,0.588
Rep. Jerry Lewis,R,"CA (37.638300000444815, -120.99958999997835)",12.11420442,11.38029445,33,0.342
Rep. John Dingell,D,"MI (44.661320000317914, -84.71438999959867)",12.12324485,11.55823085,57,-0.459
Rep. Christopher Gibson,R,"NY (42.82699999955048, -75.54396999981549)",12.1237,12.1237,1,0.26
Rep. Dennis Kucinich,D,"OH (40.06020999969189, -82.40426000019869)",12.14304889,11.87060418,15,-0.617
Rep. Mazie Hirono,D,"HI (21.304770000335395, -157.85761000030112)",12.15098893,11.62492494,5,-0.555
Rep. Jesse Jackson,D,"IL (40.485010000411364, -88.99770999971656)",12.1562299,11.95152338,17,-0.589
Rep. Mike Doyle,D,"PA (40.79372999993973, -77.86069999960512)",12.16013063,11.90525287,17,-0.327
Sen. Kirsten Gillibrand,D,"NY (42.82699999955048, -75.54396999981549)",12.16639777,11.77306299,3,-0.29
Rep. Danny Davis,D,"IL (40.485010000411364, -88.99770999971656)",12.16961938,13.81060568,15,-0.536
Rep. Ron Paul,R,"TX (31.82724000022597, -99.42676999973554)",12.17683518,12.91716356,23,0.971
Rep. Doris Matsui,D,"CA (37.638300000444815, -120.99958999997835)",12.1809007,13.62931563,5,-0.486
Rep. Karen Bass,D,"CA (37.638300000444815, -120.99958999997835)",12.18455933,12.18455933,1,-0.57
Rep. Steve Rothman,D,"NJ (40.13056999960594, -74.2736899996936)",12.18815729,13.63439528,15,-0.383
Rep. Charles Dent,R,"PA (40.79372999993973, -77.86069999960512)",12.19625014,9.443318793,5,0.221
Rep. Mike McIntyre,D,"NC (35.46624999963797, -79.1593199999179)",12.19823297,11.98199748,15,-0.168
Rep. Kenny Marchant,R,"TX (31.82724000022597, -99.42676999973554)",12.1989785,12.59379949,5,0.593
Rep. Richard Hanna,R,"NY (42.82699999955048, -75.54396999981549)",12.1993002,12.1993002,1,0.195
Sen. Ben Nelson,D,"NE (41.6410400000961, -99.36572999973953)",12.20237927,12.23793328,9,-0.026
Sen. Dan Coats,R,"IN (39.76690999989677, -86.14996000035359)",12.2063944,11.30614098,1,0.362
Rep. Sanford Bishop,D,"GA (32.83967999993223, -83.62758000031658)",12.21242911,12.72502613,19,-0.281
Rep. Donald Payne,D,"NJ (40.13056999960594, -74.2736899996936)",12.21336072,13.16325491,23,-0.635
Rep. Charlie Rangel,D,"NY (42.82699999955048, -75.54396999981549)",12.22052623,12.71768875,41,-0.556
Sen. Jay Rockefeller,D,"WV (38.66550000002513, -80.71265999975901)",12.23411065,10.21530137,25,-0.341
Sen. John Kerry,D,"MA (42.27687000005062, -72.08269000004333)",12.2359562,11.01029616,25,-0.386
Rep. Mark Critz,D,"PA (40.79372999993973, -77.86069999960512)",12.23664531,12.1438124,3,-0.309
Rep. Dave Loebsack,D,"IA (42.469390000048634, -93.81649000001335)",12.24220144,11.50722355,5,-0.34
Rep. Eddie Johnson,D,"TX (31.82724000022597, -99.42676999973554)",12.24694338,12.97377675,19,-0.51
Rep. John Conyers,D,"MI (44.661320000317914, -84.71438999959867)",12.24720344,12.18624516,47,-0.717
Sen. Ron Wyden,D,"OR (44.567449999917756, -120.15502999983448)",12.25119925,12.87171951,14,-0.34
Rep. Maurice Hinchey,D,"NY (42.82699999955048, -75.54396999981549)",12.25209869,11.9667921,19,-0.602
Rep. Elton Gallegly,R,"CA (37.638300000444815, -120.99958999997835)",12.25883745,12.54078868,25,0.401
Rep. Steve Austria,R,"OH (40.06020999969189, -82.40426000019869)",12.25993105,13.31484073,3,0.4
Rep. Robert Aderholt,R,"AL (32.840569999605975, -86.63186000013877)",12.26434136,10.21173465,15,0.389
Rep. Nick Rahall,D,"WV (38.66550000002513, -80.71265999975901)",12.26877916,12.33505071,35,-0.332
Rep. John Tierney,D,"MA (42.27687000005062, -72.08269000004333)",12.27595316,12.45814266,15,-0.554
Rep. Mike Simpson,R,"ID (43.682590000228515, -114.36368000023168)",12.2811012,9.474860824,13,0.312
Rep. Janice Hahn,NA,"CA (37.638300000444815, -120.99958999997835)",12.28487297,12.28487297,1,-0.517
Rep. Diana DeGette,D,"CO (38.842890000173554, -106.13314000041055)",12.29873407,12.30008749,15,-0.48
Rep. Buck McKeon,R,"CA (37.638300000444815, -120.99958999997835)",12.30393227,14.20195377,19,0.418
Rep. Jeff Denham,R,"CA (37.638300000444815, -120.99958999997835)",12.30747881,12.30747881,1,0.439
Rep. Ted Deutch,D,"FL (28.932039999846268, -81.9289599999039)",12.30960543,12.2488832,3,-0.462
Rep. Barbara Lee,D,"CA (37.638300000444815, -120.99958999997835)",12.31118269,12.4519866,15,-0.744
Rep. Ed Towns,D,"NY (42.82699999955048, -75.54396999981549)",12.31653658,12.43191766,29,-0.55
Rep. Rob Wittman,R,"VA (37.54268000028196, -78.45789000012326)",12.31739141,10.61954065,5,0.363
Rep. Lynn Jenkins,R,"KS (38.34774000000118, -98.20077999969709)",12.31905836,11.92177003,3,0.504
Rep. Rush Holt,D,"NJ (40.13056999960594, -74.2736899996936)",12.32528574,11.8719193,13,-0.498
Sen. Mike Lee,R,"UT (39.36070000030492, -111.58712999994941)",12.33340489,12.33340489,1,0.923
Rep. Don Young,R,"AK (64.84507999974238, -147.72205999986895)",12.33638826,8.986709512,39,0.274
Rep. Jeff Miller,R,"FL (28.932039999846268, -81.9289599999039)",12.35358473,12.21284608,11,0.643
Rep. John Olver,D,"MA (42.27687000005062, -72.08269000004333)",12.3551902,13.37654724,21,-0.613
Rep. Ed Markey,D,"MA (42.27687000005062, -72.08269000004333)",12.36450572,9.546587955,37,-0.535
Rep. Thomas Marino,R,"PA (40.79372999993973, -77.86069999960512)",12.3651867,12.3651867,1,0.434
Sen. Dianne Feinstein,D,"CA (37.638300000444815, -120.99958999997835)",12.37701267,12.19367,17,-0.286
Rep. Pete Stark,D,"CA (37.638300000444815, -120.99958999997835)",12.38370811,12.34236599,39,-0.674
Rep. David Rivera,R,"FL (28.932039999846268, -81.9289599999039)",12.38591385,12.38591385,1,0.304
Sen. C. Saxby Chambliss,R,"GA (32.83967999993223, -83.62758000031658)",12.38814636,12.94554653,7,0.428
Rep. Jerrold Nadler,D,"NY (42.82699999955048, -75.54396999981549)",12.39033439,10.82629846,21,-0.554
Rep. Chaka Fattah,D,"PA (40.79372999993973, -77.86069999960512)",12.40766248,12.58731831,17,-0.504
Sen. Kelly Ayotte,R,"NH (43.65595000019255, -71.50036000041354)",12.40918818,12.40918818,1,0.47
Sen. Mark Kirk,R,"IL (40.485010000411364, -88.99770999971656)",12.41673796,12.90257701,1,0.225
Rep. Bill Keating,D,"MA (42.27687000005062, -72.08269000004333)",12.42259642,12.42259642,1,-0.391
Rep. Niki Tsongas,D,"MA (42.27687000005062, -72.08269000004333)",12.42491365,12.23581724,5,-0.472
Rep. Laura Richardson,D,"CA (37.638300000444815, -120.99958999997835)",12.42633157,12.80672571,5,-0.376
Rep. Rodney Frelinghuysen,R,"NJ (40.13056999960594, -74.2736899996936)",12.43219658,11.16204314,17,0.268
Rep. Bob Goodlatte,R,"VA (37.54268000028196, -78.45789000012326)",12.44070101,11.93852294,19,0.477
Rep. Pete Sessions,R,"TX (31.82724000022597, -99.42676999973554)",12.45018929,11.95897367,15,0.6
Rep. Joe Wilson,R,"SC (33.99855000018255, -81.0452500001872)",12.47099529,12.65233497,11,0.559
Rep. Allen West,R,"FL (28.932039999846268, -81.9289599999039)",12.48037238,12.48037238,1,0.467
Sen. Jack Reed,D,"RI (41.70828000002217, -71.5224700001902)",12.50037799,12.77283351,13,-0.425
Rep. Bennie Thompson,D,"MS (32.7455100000866, -89.53803000008429)",12.50595849,12.98643573,19,-0.523
Rep. Brian Higgins,D,"NY (42.82699999955048, -75.54396999981549)",12.50614037,12.43313062,5,-0.37
Rep. Kathy Hochul,NA,"NY (42.82699999955048, -75.54396999981549)",12.51245869,12.51245869,1,-0.298
Sen. Mark Warner,D,"VA (37.54268000028196, -78.45789000012326)",12.521094,12.39143417,3,-0.237
Rep. Carolyn Maloney,D,"NY (42.82699999955048, -75.54396999981549)",12.53131822,13.03522892,19,-0.424
Rep. Timothy Bishop,D,"NY (42.82699999955048, -75.54396999981549)",12.54226184,12.43909577,9,-0.37
Rep. John Larson,D,"CT (41.56265999995918, -72.6498400002157)",12.54446102,10.79757323,13,-0.445
Rep. Sheila Jackson Lee,D,"TX (31.82724000022597, -99.42676999973554)",12.54770388,10.91907103,17,-0.475
Rep. Jim Renacci,R,"OH (40.06020999969189, -82.40426000019869)",12.54879331,12.54879331,1,0.441
Rep. Alcee Hastings,D,"FL (28.932039999846268, -81.9289599999039)",12.55458976,12.30399023,19,-0.603
Rep. Brian Bilbray,R,"CA (37.638300000444815, -120.99958999997835)",12.56395043,13.2773292,5,0.393
Rep. Earl Blumenauer,D,"OR (44.567449999917756, -120.15502999983448)",12.56583811,11.90555398,17,-0.481
Rep. Gwen Moore,D,"WI (44.39319000021851, -89.8163600002137)",12.56802993,11.71938016,5,-0.578
Rep. Russ Carnahan,D,"MO (38.63578999960896, -92.5663000000448)",12.57046688,12.43396024,5,-0.375
Rep. Ed Pastor,D,"AZ (34.86596999961597, -111.76380999973156)",12.57347793,12.46044965,21,-0.439
Rep. John Sarbanes,D,"MD (39.29057999976732, -76.6092600004485)",12.58399702,13.43897142,5,-0.468
Sen. Kay Hagan,D,"NC (35.46624999963797, -79.1593199999179)",12.59279723,13.05756534,3,-0.246
Sen. John McCain,R,"AZ (34.86596999961597, -111.76380999973156)",12.60188169,12.17923421,23,0.382
Rep. Henry Cuellar,D,"TX (31.82724000022597, -99.42676999973554)",12.60664745,12.3747415,5,-0.231
Rep. John Boehner,R,"OH (40.06020999969189, -82.40426000019869)",12.60964654,10.64294226,21,0.430
Rep. John Culberson,R,"TX (31.82724000022597, -99.42676999973554)",12.61056096,11.41678205,11,0.533
Rep. Gus Bilirakis,R,"FL (28.932039999846268, -81.9289599999039)",12.62349281,11.46628569,5,0.362
Rep. Mike Rogers,R,"AL (32.840569999605975, -86.63186000013877)",12.6256008,11.10142058,11,0.346
Rep. Mike Pence,R,"IN (39.76690999989677, -86.14996000035359)",12.64298814,11.90667962,11,0.672
Sen. Robert Menendez,D,"NJ (40.13056999960594, -74.2736899996936)",12.64435047,11.76713716,3,-0.391
Sen. Richard Blumenthal,D,"CT (41.56265999995918, -72.6498400002157)",12.64443182,12.64443182,1,-0.351
Rep. Chris Van Hollen,D,"MD (39.29057999976732, -76.6092600004485)",12.64513791,11.38010458,9,-0.423
Rep. Bob Brady,D,"PA (40.79372999993973, -77.86069999960512)",12.65011115,12.46616302,15,-0.497
Rep. Gregg Harper,R,"MS (32.7455100000866, -89.53803000008429)",12.67123466,11.94571807,3,0.471
Rep. Stephen Lynch,D,"MA (42.27687000005062, -72.08269000004333)",12.68757252,11.4850886,11,-0.393
Rep. Stephen Fincher,R,"TN (35.68094000038087, -85.77449000011325)",12.71414274,12.71414274,1,0.488
Rep. Betty McCollum,D,"MN (46.3556499998478, -94.79419999982997)",12.71695941,12.10592099,11,-0.468
Rep. Jim Costa,D,"CA (37.638300000444815, -120.99958999997835)",12.73091018,13.20082289,5,-0.213
Rep. Frank Pallone,D,"NJ (40.13056999960594, -74.2736899996936)",12.73500724,11.24205814,25,-0.423
Rep. Thad McCotter,R,"MI (44.661320000317914, -84.71438999959867)",12.73618766,12.80126203,9,0.331
Rep. Ron Kind,D,"WI (44.39319000021851, -89.8163600002137)",12.74467324,11.68252758,15,-0.3
Rep. Lloyd Doggett,D,"TX (31.82724000022597, -99.42676999973554)",12.74537305,11.60417295,17,-0.452
Rep. David Price,D,"NC (35.46624999963797, -79.1593199999179)",12.74723825,11.58839754,23,-0.349
Sen. Patrick Leahy,D,"VT (43.625379999687425, -72.51764000028561)",12.75204365,12.80236845,35,-0.392
Rep. Charlie Bass,R,"NH (43.65595000019255, -71.50036000041354)",12.77700684,10.47779502,1,0.345
Rep. Silver Reyes,D,"TX (31.82724000022597, -99.42676999973554)",12.78528976,12.93399807,15,-0.329
Rep. Todd Platts,R,"PA (40.79372999993973, -77.86069999960512)",12.79141667,12.44016444,11,0.248
Sen. Maria Cantwell,D,"WA (47.521729999839806, -120.46997999977702)",12.79192238,12.07724527,9,-0.306
Rep. Jeff Fortenberry,R,"NE (41.6410400000961, -99.36572999973953)",12.80381609,12.29988175,5,0.285
Rep. Bill Owens,D,"NY (42.82699999955048, -75.54396999981549)",12.80438963,12.79149984,3,-0.187
Rep. Daniel Lipinski,D,"IL (40.485010000411364, -88.99770999971656)",12.84585932,13.4959707,5,-0.287
Sen. Thad Cochran,R,"MS (32.7455100000866, -89.53803000008429)",12.85568904,13.35345328,31,0.292
Rep. Ken Calvert,R,"CA (37.638300000444815, -120.99958999997835)",12.86997764,12.571696,19,0.367
Rep. Jo Bonner,R,"AL (32.840569999605975, -86.63186000013877)",12.87050645,13.01562027,9,0.402
Rep. Andre Carson,D,"IN (39.76690999989677, -86.14996000035359)",12.87333328,13.79592974,5,-0.469
Sen. Carl Levin,D,"MI (44.661320000317914, -84.71438999959867)",12.8820932,12.7589262,31,-0.429
Sen. Richard Shelby,R,"AL (32.840569999605975, -86.63186000013877)",12.88917385,11.31326157,23,0.39
Sen. Herb Kohl,D,"WI (44.39319000021851, -89.8163600002137)",12.89084414,13.85290638,21,-0.283
Rep. Bill Flores,R,"TX (31.82724000022597, -99.42676999973554)",12.8982596,12.8982596,1,0.589
Rep. David Dreier,R,"CA (37.638300000444815, -120.99958999997835)",12.90446168,10.97476006,31,0.481
Rep. Joe Courtney,D,"CT (41.56265999995918, -72.6498400002157)",12.92437695,12.53074723,5,-0.373
Rep. Mike Thompson,D,"CA (37.638300000444815, -120.99958999997835)",12.95400843,12.91624943,13,-0.431
Rep. Frank LoBiondo,R,"NJ (40.13056999960594, -74.2736899996936)",12.96028812,13.08452404,17,0.182
Rep. Hank Johnson,D,"GA (32.83967999993223, -83.62758000031658)",12.99562452,14.35553403,5,-0.485
Rep. David Cicilline,D,"RI (41.70828000002217, -71.5224700001902)",13.01071812,13.01071812,1,-0.457
Sen. John Cornyn,R,"TX (31.82724000022597, -99.42676999973554)",13.0218724,12.43513548,7,0.491
Sen. Mike Crapo,R,"ID (43.682590000228515, -114.36368000023168)",13.02434228,14.48193636,11,0.468
Rep. Sam Graves,R,"MO (38.63578999960896, -92.5663000000448)",13.03668978,11.98141428,11,0.437
Rep. Adam Schiff,D,"CA (37.638300000444815, -120.99958999997835)",13.04915313,13.0347375,11,-0.369
Sen. Chris Coons,D,"DE (39.00883000020451, -75.57774000040052)",13.09016042,13.04310777,1,-0.37
Rep. Chris Smith,R,"NJ (40.13056999960594, -74.2736899996936)",13.11851836,12.80562,31,0.121
Sen. Jeff Bingaman,D,"NM (34.52088000011207, -106.24057999976702)",13.12520988,14.05633122,27,-0.292
Rep. Ileana Ros-Lehtinen,R,"FL (28.932039999846268, -81.9289599999039)",13.14271644,12.93132331,23,0.241
Sen. Daniel Inouye,D,"HI (21.304770000335395, -157.85761000030112)",13.15588182,12.9951671,47,-0.331
Sen. Susan Collins,R,"ME (45.25423000041434, -68.9850299999344)",13.24594759,13.13644237,13,0.107
Rep. Jim Langevin,D,"RI (41.70828000002217, -71.5224700001902)",13.25930146,13.3630482,11,-0.4
